,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Amount
679,BARUN,58,11,51,26214.0
680,BARUN,58,34,200,102800.0
681,BARUN,58,58,10,4980.0
682,BARUN,58,58,500,257000.0
683,BARUN,58,43,10,5220.0
684,BARUN,58,58,110,56210.0
685,BARUN,58,4,90,45990.0
686,BARUN,58,58,50,25500.0
687,BARUN,58,57,10,5090.0
688,BARUN,58,22,10,5010.0
689,BARUN,58,17,40,20000.0
690,BARUN,58,17,10,5000.0
691,BARUN,58,58,10,5000.0
692,BBC,58,32,10,69100.0
693,BBC,58,52,10,69100.0
694,BFC,58,8,10,2740.0
695,BFC,58,8,10,2750.0
696,BFC,58,17,30,8340.0
697,BFC,58,45,40,11080.0
698,BFC,58,6,10,2790.0
699,BFC,58,11,10,2730.0
700,BFC,58,45,30,8220.0
701,BFC,58,58,50,14000.0
702,BFC,58,58,10,2820.0
703,BFC,58,28,25,7075.0
704,BFC,58,34,31,8773.0
705,BFC,58,59,30,8520.0
706,BFC,58,59,30,8520.0
707,BFC,58,38,19,5396.0
708,BFC,58,57,50,14200.0
709,BFC,58,57,170,48280.0
710,BFC,58,36,40,12320.0
711,BFC,58,53,200,61000.0
712,BFC,58,28,25,7625.0
713,BFC,58,47,75,22875.0
714,BFC,58,8,200,61400.0
715,BFC,58,58,115,35420.0
716,BFC,58,57,100,30500.0
717,BFC,58,13,25,7575.0
718,BFC,58,59,100,30300.0
719,BFC,58,59,200,60600.0
720,BFC,58,45,20,6000.0
721,BFC,58,45,210,63000.0
722,BFC,58,45,30,9000.0
723,BFC,58,16,100,29700.0
724,BFC,58,36,30,8850.0
725,BFC,58,58,20,5940.0
726,BFC,58,39,30,8940.0
727,BFC,58,25,151,45149.0
728,BFC,58,25,165,49335.0
729,BFC,58,5,75,22350.0
730,BFC,58,45,97,28906.0
731,BFC,58,34,72,21456.0
732,BFC,58,8,70,20720.0
733,BFC,58,46,65,19305.0
734,BFC,58,58,35,10395.0
735,BFC,58,32,50,14900.0
736,BFC,58,21,10,2970.0
737,BFC,58,32,40,11920.0
738,BFC,58,36,1000,297000.0
739,BOKL,58,43,50,16700.0
740,BOKL,58,13,100,33400.0
741,BOKL,58,49,100,34000.0
742,BOKL,58,38,100,33900.0
743,BOKL,58,37,200,67800.0
744,BOKL,58,37,50,16950.0
745,BOKL,58,50,100,33700.0
746,BOKL,58,39,30,10050.0
747,BOKL,58,35,389,131093.0
748,BOKL,58,16,611,205907.0
749,BOKL,58,51,14,4718.0
750,BOKL,58,51,76,25612.0
751,BOKL,58,41,74,24938.0
752,BOKL,58,16,50,16750.0
753,BOKL,58,16,50,16750.0
754,BOKL,58,16,150,50250.0
755,BOKL,58,16,50,16850.0
756,BOKL,58,46,50,16800.0
757,BOKL,58,55,36,12060.0
758,BOKL,58,38,10,3350.0
759,BOKL,58,16,50,16850.0
760,BOKL,58,16,200,67600.0
761,BOKL,58,16,100,33800.0
762,BOKL,58,16,20,6760.0
763,BOKL,58,36,100,33600.0
764,BOKL,58,16,20,6760.0
765,BOKL,58,52,100,34500.0
766,BOKL,58,36,20,6960.0
767,BOKL,58,50,30,10410.0
768,BOKL,58,50,70,24290.0
769,BOKL,58,57,30,10410.0
770,BOKL,58,36,114,39444.0
771,BOKL,58,36,44,15224.0
772,BOKL,58,14,55,19140.0
773,BOKL,58,8,50,17250.0
774,BOKL,58,36,100,34500.0
775,BOKL,58,36,15,5175.0
776,BOKL,58,36,10,3450.0
777,BOKL,58,26,10,3420.0
778,BOKL,58,29,15,5115.0
779,BOKL,58,25,20,6820.0
780,BOKL,58,25,500,170500.0
